name,name_variants,papers_with_clevers,first_copublication,last_copublication,group_affiliation_first_year,group_affiliation_last_year,evidence_tier,site,role_assigned,role_source
"Sanchez-Cespedes, Montse","Sanchez-Cespedes, M | Sanchez-Cespedes, Montse",2,2006,2009,,,C,,,
"Suijkerbuijk, Saskia J E","Suijkerbuijk, Saskia | Suijkerbuijk, Saskia J E",2,2006,2017,2017,2017,A,Hubrecht/NIOB,,
"Sun, Zuoming","Sun, Zhiguo | Sun, Zuoming",2,2006,2022,,,C,,,
"Tertoolen, Leon","Tertoolen, Leon",2,2006,2018,2018,2018,A,Hubrecht/NIOB,,
"de Leng, W W J","de Leng, W W J",2,2006,2007,,,C,,,
"van der Velden, Yme U","van der Velden, Yme | van der Velden, Yme U",2,2006,2011,,,C,,,
"Bevins, Charles L","Bevins, Charles L",2,2007,2013,,,C,,,
"Cattaneo, Elena","Cattaneo, Elena | Cattaneo, Elisa",2,2007,2013,,,C,,,
"Helms, J Bernd","Helms, J Bernd | Helms, Jill A",2,2007,2017,,,C,,,
"Kessler, Benedikt M","Kessler, Benedikt M",2,2007,2010,,,C,,,
"Malaterre, Jordane","Malaterre, Jordane",2,2007,2015,,,C,,,
"Milne, A N A","Milne, A N A",2,2007,2008,,,C,,,
"Ramsay, Robert G","Ramsay, Robert G",2,2007,2015,,,C,,,
"Ten Berge, Derk","Ten Berge, Derk | ten Berge, Derk",2,2007,2017,,,C,,,
"Wu, Yingcheng","Wu, Yingcheng | Wu, Yumei",2,2007,2023,,,C,,,
"Buijs, Arjan","Buijs, A | Buijs, Arjan",2,2008,2015,,,C,,,
"Lee, Siu Po","Lee, Sang | Lee, Siu Po",2,2008,2014,,,C,,,
"Zon, Leonard I","Zon, Leonard I",2,2008,2023,,,C,,,
"Bassel-Duby, Rhonda","Bassel-Duby, Rhonda",2,2009,2025,,,C,,,
"Bu, Hong","Bu, Hong",2,2009,2025,,,C,,,
"Chen, Gang","Chen, Gang",2,2009,2013,,,C,,,
"Fast, Eva M","Fast, Eva | Fast, Eva M",2,2009,2023,,,C,,,
"Foekens, John A","Foekens, John | Foekens, John A",2,2009,2014,2014,2014,A,Hubrecht/NIOB,,
"Hoang, ThaoNguyen","Hoang, ThaoNguyen",2,2009,2025,,,C,,,
"Hsieh, Jenny","Hsieh, Jenny",2,2009,2025,,,C,,,
"Hu, Tom","Hu, Tom",2,2009,2025,,,C,,,
"Jain, Mukesh K","Jain, Mohit | Jain, Mukesh K",2,2009,2021,,,C,,,
"Martens, John W M","Martens, John | Martens, John W M",2,2009,2014,2014,2014,A,Hubrecht/NIOB,,
"Montgomery, Rusty L","Montgomery, Rusty L",2,2009,2025,,,C,,,
"Olson, Eric N","Olson, Eric N",2,2009,2025,,,C,,,
"Smid, Marcel","Smid, Marcel",2,2009,2014,2014,2014,A,Hubrecht/NIOB,,
"Whitsett, Jeffrey A","Whitsett, Jeffrey A",2,2009,2013,,,C,,,
"Ye, Feng","Ye, Feng",2,2009,2025,,,C,,,
"Yuan, Jenny","Yuan, Jenny | Yuan, Jin",2,2009,2020,,,C,,,
"Ashton, Gabrielle H","Ashton, Gabrielle H",2,2010,2025,,,C,,,
"Boersema, Paul J","Boersema, Paul J",2,2010,2012,,,C,,,
"Frame, Margaret C","Frame, Margaret C",2,2010,2025,,,C,,,
"Kemp, Richard","Kemp, Richard",2,2010,2025,,,C,,,
"Marsh, Victoria","Marsh, Victoria",2,2010,2025,,,C,,,
"Maussang, David","Maussang, David",2,2010,2022,,,C,,,
"Morton, Jennifer P","Morton, Jennifer P",2,2010,2025,,,C,,,
"Neufeld, Kristi","Neufeld, Kristi",2,2010,2025,,,C,,,
"Parry, Lee","Parry, Lee",2,2010,2016,,,C,,,
"Shroyer, Noah F","Shroyer, Noah F",2,2010,2011,,,C,,,
"Tauriello, Daniele V F","Tauriello, Daniele V F",2,2010,2016,,,C,,,
"Xu, Cheng-Jian","Xu, Cheng-Jian | Xu, Chuanrui",2,2010,2021,,,C,,,
"de Bruijn, Ewart","de Bruijn, Ewart",2,2010,2014,2014,2014,A,Hubrecht/NIOB,,
"Anderson, Kurt I","Anderson, Kurt I",2,2011,2024,,,C,,,
"Barriga, Francisco M","Barriga, Francisco M",2,2011,2011,,,C,,,
"Beck, Felix","Beck, Felix",2,2011,2014,,,C,,,
"Bialecka, Monika","Bialecka, Monika",2,2011,2014,2014,2014,A,Hubrecht/NIOB,,
"Blat, Irene C","Blat, Irene C",2,2011,2012,,,C,,,
"Buske, Peter","Buske, Peter",2,2011,2012,,,C,,,
"Chelala, Claude","Chelala, Claude",2,2011,2016,,,C,,,
"Croft, Daniel R","Croft, Daniel R",2,2011,2024,,,C,,,
"Deschamps, Jacqueline","Deschamps, Jacqueline",2,2011,2014,2014,2014,A,Hubrecht/NIOB,,
"Emmink, Benjamin L","Emmink, B L | Emmink, Benjamin L",2,2011,2011,,,C,,,
"Feig, Christine","Feig, Christine",2,2011,2017,,,C,,,
"Ferrante, Marc","Ferrante, Marc",2,2011,2013,,,C,,,
"Froeling, Fieke E M","Froeling, Fieke E M",2,2011,2018,,,C,,,
"Galle, Joerg","Galle, Joerg | Galle, Jörg",2,2011,2012,,,C,,,
"Guardavaccaro, Daniele","Guardavaccaro, Daniele",2,2011,2012,2012,2012,A,Hubrecht/NIOB,,
"Gunst, Quinn D","Gunst, Quinn | Gunst, Quinn D",2,2011,2018,,,C,,,
"Hernando-Momblona, Xavier","Hernando-Momblona, Xavier",2,2011,2022,,,C,,,
"Iglesias, Mar","Iglesias, Mar",2,2011,2011,,,C,,,
"Jacks, Tyler","Jacks, Tyler",2,2011,2012,,,C,,,
"Jimenez, Connie R","Jimenez, C R | Jimenez, Connie R",2,2011,2011,,,C,,,
"Jung, Peter","Jung, Peter",2,2011,2011,,,C,,,
"Lansu, Nico","Lansu, Nico",2,2011,2014,2014,2014,A,Hubrecht/NIOB,,
"Loeffler, Markus","Loeffler, Markus",2,2011,2012,,,C,,,
"Lopez, Jose I","Lopez, Jose I",2,2011,2024,,,C,,,
"McGhee, Ewan J","McGhee, Ewan J",2,2011,2024,,,C,,,
"Merlos-Suárez, Anna","Merlos-Suárez, Anna",2,2011,2011,,,C,,,
"Mohri, Yasuaki","Mohri, Yasuaki",2,2011,2013,,,C,,,
"Olson, Michael F","Olson, Michael F",2,2011,2024,,,C,,,
"Pritchard, Catrin A","Pritchard, Catrin | Pritchard, Catrin A",2,2011,2016,,,C,,,
"Quake, Stephen R","Quake, Stephen | Quake, Stephen R",2,2011,2017,,,C,,,
"Rossell, David","Rossell, David",2,2011,2011,,,C,,,
"Samuel, Michael S","Samuel, Michael S",2,2011,2024,,,C,,,
"Schasfoort, Richard B M","Schasfoort, Richard B M",2,2011,2011,,,C,,,
"Schröder, Ewald","Schröder, Ewald",2,2011,2024,,,C,,,
"Strachan, David","Strachan, David",2,2011,2024,,,C,,,
"Timpson, Paul","Timpson, Paul",2,2011,2024,,,C,,,
"Verheem, Andre","Verheem, A | Verheem, Andre",2,2011,2011,,,C,,,
"Weaver, Valerie M","Weaver, Valerie M",2,2011,2024,,,C,,,
"Cammareri, Patrizia","Cammareri, Patrizia",2,2012,2016,,,C,,,
"Fillat, Cristina","Fillat, Cristina",2,2012,2020,,,C,,,
"Greten, Florian R","Greten, Florian R",2,2012,2023,,,C,,,
"Hashimoto, Takehiro","Hashimoto, Takehiro | Hashimoto, Tatsuo",2,2012,2014,,,C,,,
"Heijmans, Jarom","Heijmans, Jarom",2,2012,2013,,,C,,,
"Jensen, Kim B","Jensen, Kim B",2,2012,2019,,,C,,,
"Karin, Michael","Karin, Michael",2,2012,2016,,,C,,,
"Kolesnick, Richard N","Kolesnick, Richard | Kolesnick, Richard N",2,2012,2019,,,C,,,
"Lipinski, Simone","Lipinski, Simone",2,2012,2018,,,C,,,
"Martens, Anton C M","Martens, Anton | Martens, Anton C M",2,2012,2012,2012,2012,A,UMC Utrecht Immunology,,
"Okamoto, Ryuichi","Okamoto, Ryuichi",2,2012,2026,,,C,,,
"Penninger, Josef M","Penninger, Josef M",2,2012,2024,,,C,,,
"Rodermond, Hans M","Rodermond, Hans | Rodermond, Hans M",2,2012,2018,,,C,,,
"Schreiber, Stefan","Schreiber, Stefan",2,2012,2018,,,C,,,
"Sigl, Verena","Sigl, Verena",2,2012,2024,,,C,,,
"Tan, Shawna","Tan, Shawna",2,2012,2013,,,C,,,
"Vliem, Marjolein J","Vliem, Marjolein J",2,2012,2024,,,C,,,
"Watanabe, Mamoru","Watanabe, Mamoru",2,2012,2026,,,C,,,
"Yui, Shiro","Yui, Shiro",2,2012,2026,,,C,,,
"Zeinstra, Laura","Zeinstra, Laura",2,2012,2019,2012,2019,A,Hubrecht/NIOB,,
"de Haan, Gerald","de Haan, G | de Haan, Gerald",2,2012,2015,,,C,,,
"van Os, Ronald","van Os, R | van Os, Ronald",2,2012,2015,,,C,,,
"Bijvelds, Marcel J C","Bijvelds, Marcel J C",2,2013,2020,,,C,,,
"Bonfanti, Paola","Bonfanti, Paola",2,2013,2019,,,C,,,
"Bonner-Weir, Susan","Bonner-Weir, Susan",2,2013,2018,,,C,,,
"Bronsveld, Inez","Bronsveld, Inez",2,2013,2016,,,C,,,
"Daley, George Q","Daley, George Q",2,2013,2021,,,C,,,
"Dimou, Leda","Dimou, Leda",2,2013,2015,,,C,,,
"Engelse, Marten A","Engelse, Marten A",2,2013,2018,,,C,,,
"Forneris, Federico","Forneris, Federico",2,2013,2013,,,C,,,
"Goldstein, Lawrence S B","Goldstein, Lawrence | Goldstein, Lawrence S B",2,2013,2021,,,C,,,
"Granneman, Joke C M","Granneman, Joke C M",2,2013,2013,,,C,,,
"Götz, Magdalena","Götz, Magdalena",2,2013,2013,,,C,,,
"Heimberg, Harry","Heimberg, Harry",2,2013,2018,,,C,,,
"Kroemer, Guido","Kroemer, Guido",2,2013,2022,,,C,,,
"Loomans, Cindy J M","Loomans, Cindy J M",2,2013,2018,2018,2018,A,Hubrecht/NIOB,,
"Ninkovic, Jovica","Ninkovic, Jovica",2,2013,2013,,,C,,,
"Oyama, Kazunori","Oyama, Kazunori",2,2013,2015,,,C,,,
"Petersen, Natalia","Petersen, Natalia",2,2013,2014,2013,2013,A,Hubrecht/NIOB,,
"Rabelink, Ton J","Rabelink, Ton J",2,2013,2018,,,C,,,
"Schwausch, Julia","Schwausch, Julia",2,2013,2013,,,C,,,
"Wang, Shumin","Wang, Shumin | Wang, Simin",2,2013,2022,,,C,,,
"Zeilstra, Jurrit","Zeilstra, J | Zeilstra, Jurrit",2,2013,2017,,,C,,,
"de Laat, Wouter","de Laat, Wouter",2,2013,2014,2014,2014,A,Hubrecht/NIOB,,
"van de Werken, Harmen J G","van de Werken, Harmen J G",2,2013,2018,,,C,,,
"Adameyko, Igor","Adameyko, Igor",2,2014,2016,,,C,,,
"Alexandrov, Ludmil B","Alexandrov, Ludmil B",2,2014,2018,,,C,,,
"Arakawa, Takahiro","Arakawa, Takahiro",2,2014,2017,,,C,,,
"Arner, Erik","Arner, Erik",2,2014,2017,,,C,,,
"Arner, Peter","Arner, Peter",2,2014,2017,,,C,,,
"Babina, Magda","Babina, Magda",2,2014,2017,,,C,,,
"Baillie, J Kenneth","Baillie, J Kenneth",2,2014,2017,,,C,,,
"Beckhouse, Anthony G","Beckhouse, Anthony G",2,2014,2017,,,C,,,
"Beyaert, Rudi","Beyaert, Rudi",2,2014,2025,,,C,,,
"Biffi, Giulia","Biffi, Giulia",2,2014,2017,,,C,,,
"Bigorgne, Amélie E","Bigorgne, Amélie | Bigorgne, Amélie E",2,2014,2014,,,C,,,
"Billiet, Thomas","Billiet, Thomas",2,2014,2025,,,C,,,
"Blokker, Joyce","Blokker, Joyce",2,2014,2015,2014,2015,A,Hubrecht/NIOB,,
"Blumenthal, Antje","Blumenthal, Antje",2,2014,2017,,,C,,,
"Bodega, Beatrice","Bodega, Beatrice",2,2014,2017,,,C,,,
"Boers, Susanne J","Boers, Sarah N | Boers, Susanne J",2,2014,2016,,,C,,,
"Bole-Feysot, Christine","Bole-Feysot, Christine",2,2014,2014,,,C,,,
"Bonetti, Alessandro","Bonetti, Alessandro",2,2014,2017,,,C,,,
"Briggs, James","Briggs, James",2,2014,2017,,,C,,,
"Brombacher, Frank","Brombacher, Frank",2,2014,2017,,,C,,,
"Brousse, Nicole","Brousse, Nicole",2,2014,2014,,,C,,,
"Chen, Peng","Chen, Peng | Chen, Ping",2,2014,2023,,,C,,,
"Ching, Yick Pang","Ching, Yick Pang",2,2014,2018,,,C,,,
"Corbo, Vincenzo","Corbo, Vincenzo",2,2014,2017,,,C,,,
"Daub, Carsten O","Daub, Carsten O",2,2014,2017,,,C,,,
"Davis, Carrie A","Davis, Carrie A",2,2014,2017,,,C,,,
"De Hertogh, Gert","De Hertogh, Gert",2,2014,2025,,,C,,,
"Detmar, Michael","Detmar, Michael",2,2014,2017,,,C,,,
"Dohi, Taeko","Dohi, Taeko",2,2014,2017,,,C,,,
"Dong, Chen","Dong, Chen",2,2014,2021,,,C,,,
"Dowling, Catherine M","Dowling, Catherine | Dowling, Catherine M",2,2014,2014,,,C,,,
"Edge, Albert S B","Edge, Albert S B",2,2014,2017,,,C,,,
"Edinger, Matthias","Edinger, Matthias",2,2014,2017,,,C,,,
"Ekwall, Karl","Ekwall, Karl",2,2014,2017,,,C,,,
"Ellenbroek, Saskia I J","Ellenbroek, Saskia I J",2,2014,2016,2014,2016,A,Hubrecht/NIOB,,
"Ellis, Ewa","Ellis, Ewa",2,2014,2017,,,C,,,
"Elyada, Ela","Elyada, Ela",2,2014,2017,,,C,,,
"Endoh, Mitsuhiro","Endoh, Mitsuhiro",2,2014,2017,,,C,,,
"Enomoto, Hideki","Enomoto, Hideki",2,2014,2017,,,C,,,
"Fagiolini, Michela","Fagiolini, Michela",2,2014,2017,,,C,,,
"Fairbairn, Lynsey","Fairbairn, Lynsey",2,2014,2017,,,C,,,
"Farach-Carson, Mary C","Farach-Carson, Mary C",2,2014,2017,,,C,,,
"Faulkner, Geoffrey J","Faulkner, Geoffrey J",2,2014,2017,,,C,,,
"Fischer, Alain","Fischer, Alain",2,2014,2014,,,C,,,
"Fisher, Malcolm E","Fisher, Malcolm E",2,2014,2017,,,C,,,
"Forrest, Alistair R R","Forrest, Alistair R R",2,2014,2017,,,C,,,
"Fried, Kaj","Fried, Kaj",2,2014,2016,,,C,,,
"Fujita, Rie","Fujita, Rie",2,2014,2017,,,C,,,
"Fukuda, Shiro","Fukuda, Shiro",2,2014,2017,,,C,,,
"Furusawa, Jun-Ichi","Furusawa, Jun-Ichi | Furusawa, Jun-ichi",2,2014,2017,,,C,,,
"Gao, Qiang","Gao, Qiang | Gao, Qing",2,2014,2023,,,C,,,
"Geijtenbeek, Teunis B","Geijtenbeek, Teunis B",2,2014,2017,,,C,,,
"Gingeras, Thomas","Gingeras, Thomas",2,2014,2017,,,C,,,
"Goldowitz, Daniel","Goldowitz, Daniel",2,2014,2017,,,C,,,
"Guhl, Sven","Guhl, Sven",2,2014,2017,,,C,,,
"Guler, Reto","Guler, Reto",2,2014,2017,,,C,,,
"Gustincich, Stefano","Gustincich, Stefano",2,2014,2017,,,C,,,
"Ha, Thomas J","Ha, Thomas J",2,2014,2017,,,C,,,
"Hamaguchi, Masahide","Hamaguchi, Masahide",2,2014,2017,,,C,,,
"Handly-Santana, Abram","Handly-Santana, Abram",2,2014,2017,,,C,,,
"Hara, Mitsuko","Hara, Mitsuko",2,2014,2017,,,C,,,
"Harshbarger, Jayson","Harshbarger, Jayson",2,2014,2017,,,C,,,
"Hasegawa, Akira","Hasegawa, Akira",2,2014,2017,,,C,,,
"Hasegawa, Yuki","Hasegawa, Yuki",2,2014,2017,,,C,,,
"Hayashizaki, Yoshihide","Hayashizaki, Yoshihide",2,2014,2017,,,C,,,
"Herlyn, Meenhard","Herlyn, Meenhard",2,2014,2017,,,C,,,
"Hess, Michael W","Hess, Michael W",2,2014,2015,,,C,,,
"Heutink, Peter","Heutink, Peter",2,2014,2017,,,C,,,
"Hitchens, Kelly J","Hitchens, Kelly J",2,2014,2017,,,C,,,
"Hoekstra, Ruurdtje","Hoekstra, Ruurdtje",2,2014,2020,,,C,,,
"Hori, Furni","Hori, Fumi | Hori, Furni",2,2014,2017,,,C,,,
"Hume, David A","Hume, David A",2,2014,2017,,,C,,,
"Ikawa, Tomokatsu","Ikawa, Tomokatsu",2,2014,2017,,,C,,,
"Ishizu, Yuri","Ishizu, Yuri",2,2014,2017,,,C,,,
"Itoh, Masayoshi","Itoh, Masayoshi",2,2014,2017,,,C,,,
"Janecke, Andreas R","Janecke, Andreas | Janecke, Andreas R",2,2014,2015,,,C,,,
"Jansen, Erik","Jansen, Erik",2,2014,2016,2016,2016,A,Hubrecht/NIOB,,
"Kai, Chieko","Kai, Chieko",2,2014,2017,,,C,,,
"Kaida, Kaoru","Kaida, Kaoru",2,2014,2017,,,C,,,
"Kaiho, Ai","Kaiho, Ai",2,2014,2017,,,C,,,
"Kanamori-Katayama, Mutsumi","Kanamori-Katayama, Mutsumi",2,2014,2017,,,C,,,
"Kasukawa, Takeya","Kasukawa, Takeya",2,2014,2017,,,C,,,
"Kato, Shigeki","Kato, Sachi | Kato, Shigeki",2,2014,2015,,,C,,,
"Kaucka, Marketa","Kaucka, Marketa",2,2014,2016,,,C,,,
"Kawai, Jun","Kawai, Jun",2,2014,2017,,,C,,,
"Kawaji, Hideya","Kawaji, Hideya",2,2014,2017,,,C,,,
"Kawamoto, Hiroshi","Kawamoto, Hiroshi",2,2014,2017,,,C,,,
"Kawamura, Yuki I","Kawamura, Yuki I",2,2014,2017,,,C,,,
"Kawashima, Tsugumi","Kawashima, Tsugumi",2,2014,2017,,,C,,,
"Kempfle, Judith S","Kempfle, Judith S",2,2014,2017,,,C,,,
"Kenna, Tony J","Kenna, Tony J",2,2014,2017,,,C,,,
"Kere, Juha","Kere, Juha",2,2014,2017,,,C,,,
"Khachigian, Levon M","Khachigian, Levon M",2,2014,2017,,,C,,,
"Kitamura, Toshio","Kitamura, Toshio",2,2014,2017,,,C,,,
"Klinken, S Peter","Klinken, S Peter",2,2014,2017,,,C,,,
"Knox, Alan J","Knox, Alan J",2,2014,2017,,,C,,,
"Kojima, Miki","Kojima, Miki",2,2014,2017,,,C,,,
"Kojima, Soichi","Kojima, Soichi",2,2014,2017,,,C,,,
"Kondo, Naoto","Kondo, Naoto",2,2014,2017,,,C,,,
"Koseki, Haruhiko","Koseki, Haruhiko",2,2014,2017,,,C,,,
"Koyasu, Shigeo","Koyasu, Shigeo",2,2014,2017,,,C,,,
"Kubosaki, Atsutaka","Kubosaki, Atsutaka",2,2014,2017,,,C,,,
"Lassmann, Timo","Lassmann, Timo",2,2014,2017,,,C,,,
"Lee, Weonju","Lee, Weonju",2,2014,2017,,,C,,,
"Lemoine, Roxane","Lemoine, Roxane",2,2014,2014,,,C,,,
"Lennartsson, Andreas","Lennartsson, Andreas",2,2014,2017,,,C,,,
"Lizio, Marina","Lizio, Marina",2,2014,2017,,,C,,,
"Mackay-Sim, Alan","Mackay-Sim, Alan",2,2014,2017,,,C,,,
"Manabe, Ri-Ichiroh","Manabe, Ri-Ichiroh | Manabe, Ri-ichiroh",2,2014,2017,,,C,,,
"Mao, Meng","Mao, Mao | Mao, Meng",2,2014,2016,,,C,,,
"Martincorena, Inigo","Martincorena, Inigo",2,2014,2016,,,C,,,
"Mc Guire, Conor","Mc Guire, Conor",2,2014,2025,,,C,,,
"Mejhert, Niklas","Mejhert, Niklas",2,2014,2017,,,C,,,
"Mizuno, Yosuke","Mizuno, Yosuke",2,2014,2017,,,C,,,
"Morikawa, Hiromasa","Morikawa, Hiromasa",2,2014,2017,,,C,,,
"Morimoto, Mitsuru","Morimoto, Mitsuru",2,2014,2017,,,C,,,
"Moro, Kazuyo","Moro, Kazuyo",2,2014,2017,,,C,,,
"Motohashi, Hozumi","Motohashi, Hozumi",2,2014,2017,,,C,,,
"Murata, Mitsuyoshi","Murata, Mitsuyoshi",2,2014,2017,,,C,,,
"Müller, Thomas","Müller, Thomas",2,2014,2015,,,C,,,
"Nagao-Sato, Sayaka","Nagao-Sato, Sayaka",2,2014,2017,,,C,,,
"Nakachi, Yutaka","Nakachi, Yutaka",2,2014,2017,,,C,,,
"Nakahara, Fumio","Nakahara, Fumio",2,2014,2017,,,C,,,
"Nakamura, Yukio","Nakamura, Yukio",2,2014,2017,,,C,,,
"Nakazato, Kenichi","Nakazato, Kenichi",2,2014,2017,,,C,,,
"Nik-Zainal, Serena","Nik-Zainal, Serena",2,2014,2017,,,C,,,
"Ninomiya, Noriko","Ninomiya, Noriko",2,2014,2017,,,C,,,
"Noma, Shohei","Noma, Shohei",2,2014,2017,,,C,,,
"Ogishima, Soichi","Ogishima, Soichi",2,2014,2017,,,C,,,
"Ohkura, Naganari","Ohkura, Naganari",2,2014,2017,,,C,,,
"Ohno, Hiroshi","Ohno, Hiroshi",2,2014,2017,,,C,,,
"Ohshima, Mitsuhiro","Ohshima, Mitsuhiro",2,2014,2017,,,C,,,
"Okada-Hatakeyama, Mariko","Okada-Hatakeyama, Mariko",2,2014,2017,,,C,,,
"Okazaki, Yasushi","Okazaki, Yasushi",2,2014,2017,,,C,,,
"Oni, Tobiloba E","Oni, Tobiloba | Oni, Tobiloba E",2,2014,2017,,,C,,,
"Orlando, Valerio","Orlando, Valerio",2,2014,2017,,,C,,,
"Ovchinnikov, Dmitry A","Ovchinnikov, Dmitry A",2,2014,2017,,,C,,,
"Park, Youngkyu","Park, Youngkyu",2,2014,2017,,,C,,,
"Passier, Robert","Passier, Robert",2,2014,2017,,,C,,,
"Patrikakis, Margaret","Patrikakis, Margaret",2,2014,2017,,,C,,,
"Ponz-Sarvise, Mariano","Ponz-Sarvise, Mariano",2,2014,2017,,,C,,,
"Pradhan-Bhatt, Swati","Pradhan-Bhatt, Swati",2,2014,2017,,,C,,,
"Raes, Jeroen","Raes, Jeroen",2,2014,2025,,,C,,,
"Rehli, Michael","Rehli, Michael",2,2014,2017,,,C,,,
"Rizzu, Patrizia","Rizzu, Patrizia",2,2014,2017,,,C,,,
"Roy, Sugata","Roy, Sugata",2,2014,2017,,,C,,,
"Rutgeerts, Paul","Rutgeerts, Paul",2,2014,2025,,,C,,,
"Saijyo, Eri","Saijyo, Eri",2,2014,2017,,,C,,,
"Sajantila, Antti","Sajantila, Antti",2,2014,2017,,,C,,,
"Saka, Akiko","Saka, Akiko",2,2014,2017,,,C,,,
"Sakaguchi, Shimon","Sakaguchi, Shimon",2,2014,2017,,,C,,,
"Sakai, Mizuho","Sakai, Mizuho",2,2014,2017,,,C,,,
"Sato, Hiroki","Sato, Hiroki",2,2014,2017,,,C,,,
"Savvi, Suzana","Savvi, Suzana",2,2014,2017,,,C,,,
"Saxena, Alka","Saxena, Alka",2,2014,2017,,,C,,,
"Schmidl, Christian","Schmidl, Christian",2,2014,2017,,,C,,,
"Schneider, Claudio","Schneider, Claudio",2,2014,2017,,,C,,,
"Schulze-Tanzil, Gundula G","Schulze-Tanzil, Gundula G",2,2014,2017,,,C,,,
"Schwegmann, Anita","Schwegmann, Anita",2,2014,2017,,,C,,,
"Sengstag, Thierry","Sengstag, Thierry",2,2014,2017,,,C,,,
"Severin, Jessica","Severin, Jessica",2,2014,2017,,,C,,,
"Sharpe, Paul","Sharpe, Paul",2,2014,2016,,,C,,,
"Sheng, Guojun","Sheng, Guojun",2,2014,2017,,,C,,,
"Shimoji, Hisashi","Shimoji, Hisashi",2,2014,2017,,,C,,,
"Simon, Christophe","Simon, Christophe",2,2014,2017,,,C,,,
"Slowicka, Karolina","Slowicka, Karolina",2,2014,2025,,,C,,,
"Sugiyama, Daisuke","Sugiyama, Daisuke",2,2014,2017,,,C,,,
"Sugiyama, Takaaki","Sugiyama, Takaai | Sugiyama, Takaaki",2,2014,2017,,,C,,,
"Summers, Kim M","Summers, Kim M",2,2014,2017,,,C,,,
"Sun, Xiaofei","Sun, Xiaofei | Sun, Xin",2,2014,2021,,,C,,,
"Suter, Ueli","Suter, Ueli",2,2014,2016,,,C,,,
"Suzuki, Harukazu","Suzuki, Harukazu",2,2014,2017,,,C,,,
"Suzuki, Naoko","Suzuki, Naoko",2,2014,2017,,,C,,,
"Sze, Mozes","Sze, Mozes",2,2014,2025,,,C,,,
"Tagami, Michihira","Tagami, Michihira",2,2014,2017,,,C,,,
"Takahashi, Naoko","Takahashi, Naoko",2,2014,2017,,,C,,,
"Takai, Jun","Takai, Jun",2,2014,2017,,,C,,,
"Tanaka, Hiroshi","Tanaka, Hiroshi",2,2014,2017,,,C,,,
"Tatsukawa, Hideki","Tatsukawa, Hideki",2,2014,2017,,,C,,,
"Toonen, Pim W","Toonen, Pim | Toonen, Pim W",2,2014,2016,2014,2016,A,Hubrecht/NIOB,,
"Urnov, Fyodor D","Urnov, Fyodor D",2,2014,2021,,,C,,,
"Vereecke, Lars","Vereecke, Lars",2,2014,2025,,,C,,,
"Vermeire, Severine","Vermeire, Severine",2,2014,2025,,,C,,,
"Vieira-Silva, Sara","Vieira-Silva, Sara",2,2014,2025,,,C,,,
"Vijayan, Dipti","Vijayan, Dipti",2,2014,2017,,,C,,,
"Vogel, Georg F","Vogel, Georg F",2,2014,2015,,,C,,,
"Wilson, Julie M","Wilson, John P | Wilson, Julie M",2,2014,2018,,,C,,,
"Winteringham, Louise N","Winteringham, Louise N",2,2014,2017,,,C,,,
"Wolvetang, Ernst","Wolvetang, Ernst",2,2014,2017,,,C,,,
"Wongvipat, John","Wongvipat, John",2,2014,2014,,,C,,,
"Yamaguchi, Yoko","Yamaguchi, Yoko",2,2014,2017,,,C,,,
"Yamamoto, Masayuki","Yamamoto, Masayuki",2,2014,2017,,,C,,,
"Yan, Xiaowei","Yan, Xiaowei | Yan, Xuefei",2,2014,2023,,,C,,,
"Yoneda, Misako","Yoneda, Misako",2,2014,2017,,,C,,,
"Yonekura, Yohei","Yonekura, Yohei",2,2014,2017,,,C,,,
"Yoshida, Shigehiro","Yoshida, Shigehiro",2,2014,2017,,,C,,,
"Zhang, Peter G","Zhang, Peter G",2,2014,2017,,,C,,,
"Zhong, Bo","Zhong, Bo",2,2014,2021,,,C,,,
"Zucchelli, Silvia","Zucchelli, Silvia",2,2014,2017,,,C,,,
"de Saint Basile, Geneviève","de Saint Basile, Geneviève",2,2014,2014,,,C,,,
"van Loo, Geert","van Loo, Geert",2,2014,2025,,,C,,,
"van den Berg, Linda M","van den Berg, Linda M",2,2014,2017,,,C,,,
"Öhlund, Daniel","Öhlund, Daniel",2,2014,2017,,,C,,,
"Bernards, Rene","Bernards, Rene | Bernards, René",2,2015,2016,,,C,,,
"Chng, Song Hui","Chng, Song Hui",2,2015,2015,,,C,,,
"Francies, Hayley E","Francies, Hayley E",2,2015,2019,,,C,,,
"Frisén, Jonas","Frisén, Jonas",2,2015,2022,,,C,,,
"Garnett, Mathew J","Garnett, Mathew J",2,2015,2019,,,C,,,
"Grün, Dominic","Grün, Dominic",2,2015,2016,2015,2016,A,Hubrecht/NIOB,,
"Hoogstraat, Marlous","Hoogstraat, Marlous",2,2015,2017,,,C,,,
"Kabouridis, Panagiotis S","Kabouridis, Panagiotis S",2,2015,2015,,,C,,,
"Mateos, Jara García","Mateos, Jara García | Mateos, José María",2,2015,2022,,,C,,,
"Meyerson, Matthew","Meyerson, Matthew",2,2015,2020,,,C,,,
"Neveling, Kornelia","Neveling, Kornelia",2,2015,2025,,,C,,,
"Nowell, Cameron J","Nowell, Cameron | Nowell, Cameron J",2,2015,2017,,,C,,,
"O'Rourke, Kevin P","O'Rourke, Kevin P",2,2015,2019,,,C,,,
"Tan, Ee Hong","Tan, Ee Hong",2,2015,2017,,,C,,,
